CVE,Published,Modified,Status
CVE-2024-1272,2024-06-05T09:15:09.620,2024-06-05T12:53:50.240,Undergoing Analysis
CVE-2024-1662,2024-06-05T12:15:10.213,2024-06-05T12:53:50.240,Undergoing Analysis
CVE-2024-28818,2024-06-05T19:15:15.150,2024-06-05T19:15:15.150,Received
CVE-2024-34055,2024-06-05T05:15:49.950,2024-06-05T12:53:50.240,Undergoing Analysis
CVE-2024-20405,2024-06-05T17:15:12.107,2024-06-05T17:15:12.107,Received
CVE-2024-20404,2024-06-05T17:15:11.790,2024-06-05T17:15:11.790,Received
CVE-2024-3378,2024-04-06T13:15:12.473,2024-05-17T02:39:53.637,Undergoing Analysis
CVE-2024-5222,2024-06-05T07:15:46.127,2024-06-05T12:53:50.240,Undergoing Analysis
CVE-2024-5259,2024-06-06T10:15:09.557,2024-06-06T10:15:09.557,Received
CVE-2024-5262,2024-06-05T04:15:11.807,2024-06-05T12:53:50.240,Undergoing Analysis
CVE-2024-5224,2024-06-06T02:15:54.690,2024-06-06T02:15:54.690,Received
CVE-2024-5221,2024-06-06T09:15:14.977,2024-06-06T09:15:14.977,Received
CVE-2024-21410,2024-02-13T18:15:59.680,2024-05-29T00:15:34.510,Undergoing Analysis
CVE-2024-2368,2024-06-05T07:15:45.690,2024-06-05T12:53:50.240,Undergoing Analysis
CVE-2024-2350,2024-06-06T02:15:53.237,2024-06-06T02:15:53.237,Received
CVE-2024-4812,2024-06-05T15:15:12.333,2024-06-05T15:15:12.333,Received
CVE-2024-4886,2024-06-05T06:15:12.443,2024-06-05T12:53:50.240,Undergoing Analysis
CVE-2024-4821,2024-06-05T09:15:10.260,2024-06-05T12:53:50.240,Undergoing Analysis
CVE-2024-4212,2024-06-06T04:15:11.970,2024-06-06T04:15:11.970,Received
CVE-2024-4295,2024-06-05T06:15:12.007,2024-06-05T12:53:50.240,Undergoing Analysis
CVE-2024-2922,2024-06-06T04:15:11.673,2024-06-06T04:15:11.673,Received
CVE-2024-4608,2024-06-06T04:15:12.953,2024-06-06T04:15:12.953,Received
CVE-2024-3667,2024-06-05T06:15:11.590,2024-06-05T12:53:50.240,Undergoing Analysis
CVE-2024-1940,2024-06-05T06:15:09.780,2024-06-05T12:53:50.240,Undergoing Analysis
CVE-2024-28995,2024-06-06T09:15:14.167,2024-06-06T09:15:14.167,Received
CVE-2024-5342,2024-06-06T02:15:55.087,2024-06-06T02:15:55.087,Received
CVE-2024-5324,2024-06-06T02:15:54.890,2024-06-06T02:15:54.890,Received
CVE-2024-5329,2024-06-06T10:15:10.493,2024-06-06T10:15:10.493,Received
CVE-2024-4364,2024-06-06T04:15:12.220,2024-06-06T04:15:12.220,Received
CVE-2024-4942,2024-06-06T02:15:54.080,2024-06-06T02:15:54.080,Received
CVE-2024-4939,2024-06-05T08:15:09.787,2024-06-05T12:53:50.240,Undergoing Analysis
CVE-2024-4788,2024-06-06T02:15:53.860,2024-06-06T02:15:53.860,Received
CVE-2024-4707,2024-06-06T04:15:13.213,2024-06-06T04:15:13.213,Received
CVE-2024-4705,2024-06-06T02:15:53.663,2024-06-06T02:15:53.663,Received
CVE-2024-4743,2024-06-05T09:15:10.030,2024-06-05T12:53:50.240,Undergoing Analysis
CVE-2024-0972,2024-06-06T04:15:10.923,2024-06-06T04:15:10.923,Received
CVE-2024-0912,2024-06-06T00:15:09.117,2024-06-06T00:15:09.117,Received
CVE-2024-0910,2024-06-06T02:15:53.010,2024-06-06T02:15:53.010,Received
CVE-2024-1086,2024-01-31T13:15:10.827,2024-05-31T01:00:03.283,Undergoing Analysis
CVE-2024-3567,2024-04-10T15:16:05.097,2024-04-10T19:49:51.183,Undergoing Analysis
CVE-2024-5453,2024-06-05T08:15:10.410,2024-06-05T12:53:50.240,Undergoing Analysis
CVE-2024-5449,2024-06-06T04:15:14.720,2024-06-06T04:15:14.720,Received
